0 10-button 1 2 1;
110.295 10-button 1 2 0;
1863.4 10-button 0 2 1;
139.32 10-button 0 2 0;
2287.17 10-button 3 2 1;
104.49 10-button 3 2 0;
1985.31 10-button 2 2 1;
121.905 10-button 2 2 0;
2171.07 10-button 1 2 1;
117.551 10-button 1 2 0;
1600.73 10-button 3 2 1;
121.904 10-button 3 2 0;
7662.59;
